id,symbol,name,polygon_pos_contract_hash,ethereum_contract_hash,avalanche_contract_hash,solana_contract_hash,circulating_supply,total_supply,max_supply,ath,ath_date,atl,atl_date,last_updated
0x,ZRX,0x,NaN,0xe41d2489571d322189246dafa5ebde1f4699f498,0x596fa47043f99a4e0f122243b841e55375cde0d2,NaN,847496054.8122635,1000000000.0,1000000000.0,2.5,2018-01-13T00:00:00.000Z,0.120667,2020-03-13T02:27:49.563Z,2022-02-24T23:13:14.506Z
1inch,1INCH,1inch,0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f,0x111111111117dc0aa78b770fa6a738034120c302,0xd501281565bf7789224523144fe5d98e8b28f267,NaN,415754007.856548,1500000000.0,1500000000.0,8.65,2021-10-27T08:24:54.808Z,0.767785,2020-12-29T16:38:53.144Z,2022-02-24T23:13:02.431Z
aave,AAVE,Aave,0xd6df932a45c0f255f85145f286ea0b292b21c90b,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x63a72806098bd3d9520cc43356dd78afe5d386d9,NaN,13621385.98009979,16000000.0,16000000.0,661.69,2021-05-18T21:19:59.514Z,26.02,2020-11-05T09:20:11.928Z,2022-02-24T23:13:25.810Z
alchemix-usd,ALUSD,Alchemix USD,NaN,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,NaN,NaN,251218475.789897,251218475.789897,NaN,2.13,2021-03-21T19:53:32.860Z,0.060239,2021-03-19T22:40:28.697Z,2022-02-24T23:13:17.714Z
alchemy-pay,ACH,Alchemy Pay,NaN,0xed04915c23f00a313a544955524eb7dbd823143d,NaN,NaN,4069591987.033631,10000000000.0,10000000000.0,0.198666,2021-08-06T16:39:58.934Z,0.00135537,2021-07-21T00:39:36.177Z,2022-02-24T23:14:18.932Z
algorand,ALGO,Algorand,NaN,NaN,NaN,NaN,6618716922.98527,7057939125.16679,10000000000.0,3.56,2019-06-20T14:51:19.480Z,0.105336,2020-03-13T02:20:48.438Z,2022-02-24T23:14:25.891Z
amp-token,AMP,Amp,NaN,0xff20817765cb7f73d4bde2e66e067e58d11095c2,NaN,NaN,48013928909.1577,99443468745.2635,99225164238.50153,0.120813,2021-06-16T16:03:41.147Z,0.00250501,2020-11-04T13:18:12.191Z,2022-02-24T23:14:19.002Z
anchor-protocol,ANC,Anchor Protocol,NaN,0x0f3adc247e91c3c50bc08721355a41037e89bc20,NaN,NaN,256125012.321535,1000000000.0,1000000000.0,8.23,2021-03-19T08:34:07.726Z,1.26,2022-01-28T12:54:47.469Z,2022-02-24T23:14:22.561Z
ankr,ANKR,Ankr,NaN,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,NaN,NaN,8162899377.791667,10000000000.0,10000000000.0,0.213513,2021-04-16T19:44:04.474Z,0.00070728,2020-03-13T02:24:03.563Z,2022-02-24T23:14:03.867Z
apenft,NFT,APENFT,NaN,0xef40b859d21e4d566a3d713e756197c021bffaaa,NaN,NaN,277080562500000.0,999990000000000.0,999990000000000.0,7.53e-06,2021-09-05T00:10:47.823Z,1.49e-06,2021-07-20T03:39:12.966Z,2022-02-24T23:13:59.050Z
