token_id,token_name,token_symol,eth_contract_hash,circulating_supply,total_supply,max_supply
0,0x,ZRX,,,,
1,1inch,1INCH,,,,
2,Aave,AAVE,,,,
3,Alchemix USD,ALUSD,,,,
4,Alchemy Pay,ACH,,,,
5,Algorand,ALGO,,,,
6,Amp,AMP,,,,
7,Anchor Protocol,ANC,,,,
8,Ankr,ANKR,,,,
9,APENFT,NFT,,,,
10,API3,API3,,,,
11,Aragon,ANT,,,,
12,Ardor,ARDR,,,,
13,Arweave,AR,,,,
14,AscendEx Token,ASD,,,,
15,Astar,ASTR,,,,
16,Audius,AUDIO,,,,
17,Aurora,AURORA,,,,
18,Avalanche,AVAX,,,,
19,Axie Infinity,AXS,,,,
20,Baby Doge Coin,BABYDOGE,,,,
21,Bancor Network Token,BNT,,,,
22,Band Protocol,BAND,,,,
23,Basic Attention Token,BAT,,,,
24,BNB,BNB,,,,
25,Binance USD,BUSD,,,,
26,Decentralized Social,DESO,,,,
27,Bitcoin,BTC,,,,
28,Bitcoin Cash,BCH,,,,
29,Bitcoin SV,BSV,,,,
30,Ethereum,ETH,,,,
31,Solana,SOL,,,,
32,Near,NEAR,,,,
33,Helium,HNT,,,,
34,Stacks,STX,,,,
35,Litecoin,LTC,,,,
36,Dogecoin,DOGE,,,,
